dataset,maxCPU,deltaCPU,maxAcc,deltaAcc,popularityTime,dataTier,sizeGb,age
/BprimeBprimeToBHBHinc_M-950_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,176,78,176,78,3,AODSIM,46,0
/BprimeBprimeToBHBZinc_M-650_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,173,173,173,173,5,AODSIM,44,0
/BprimeBprimeToBHBZinc_M-675_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,94,89,94,89,3,AODSIM,46,0
/BprimeBprimeToBHBZinc_M-750_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,154,151,154,151,3,AODSIM,47,14
/BprimeBprimeToBHBZinc_M-900_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,509,27,509,27,3,AODSIM,136,14
/BprimeBprimeToBHBZinc_M-950_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,450,200,450,200,3,AODSIM,136,7
/BprimeBprimeToBHTWinc_M-450_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,251,171,251,171,4,AODSIM,46,7
/BprimeBprimeToBHTWinc_M-500_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,287,252,287,252,3,AODSIM,46,14
/BprimeBprimeToBHTWinc_M-800_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,411,64,411,64,2,AODSIM,49,28
/BprimeBprimeToBZBZinc_M-1500_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,136,120,136,120,3,AODSIM,44,0
/BprimeBprimeToBZBZinc_M-450_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,101,66,101,66,2,AODSIM,43,21
/BprimeBprimeToBZBZinc_M-900_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,178,70,178,70,3,AODSIM,45,7
/BprimeBprimeToBZBZinc_M-950_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,151,151,151,151,9,AODSIM,46,0
/BprimeBprimeToBZTWinc_M-1000_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,563,328,563,328,3,AODSIM,140,21
/BprimeBprimeToBZTWinc_M-450_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,218,104,218,104,10,AODSIM,57,77
/BprimeBprimeToBZTWinc_M-500_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,309,164,309,164,3,AODSIM,58,0
/BprimeBprimeToBZTWinc_M-600_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,316,52,316,52,4,AODSIM,60,35
/BprimeBprimeToBZTWinc_M-700_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,270,26,270,26,7,AODSIM,62,70
/BprimeBprimeToBZTWinc_M-725_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,90,90,90,90,3,AODSIM,46,7
/BprimeBprimeToBZTWinc_M-750_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,250,228,250,228,3,AODSIM,63,14
/BprimeBprimeToBZTWinc_M-800_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,215,196,215,196,6,AODSIM,48,14
/BprimeBprimeToTWTWinc_M-1300_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,166,152,166,152,3,AODSIM,47,0
/BprimeBprimeToTWTWinc_M-1500_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,142,81,142,81,3,AODSIM,47,0
